Ticker,PnL,Status,Entry_Timestamp,Exit_Timestamp,Avg_Entry_Price,Avg_Exit_Price,Position_Size,Direction,Duration_Days,Position_UUID
NFLX,342.61,Closed,2025-04-14 00:00:00,2025-07-09 00:00:00,932.7000122070312,1275.31,1.0,Long,86.0,NFLX_EMA_19_46_2025-04-14
INTU,154.34,Closed,2025-04-30 00:00:00,2025-07-10 00:00:00,614.0900268554688,768.43,1.0,Long,71.0,INTU_SMA_54_64_2025-04-30
CRWD,101.05,Closed,2025-04-14 00:00:00,2025-07-14 00:00:00,386.9549865722656,488.0,1.0,Long,91.0,CRWD_EMA_5_21_2025-04-14
NVDA,62.11,Closed,2025-05-02 00:00:00,2025-08-01 00:00:00,111.61,173.72,1.0,Long,91.0,NVDA_SMA_36_40_2025-05-02
PWR,60.57,Closed,2025-06-03 00:00:00,2025-07-31 00:00:00,345.56,406.13,1.0,Long,58.0,PWR_SMA_66_78_2025-06-03
TSLA2,46.42,Closed,2025-05-01 00:00:00,2025-06-11 00:00:00,280.010009765625,326.42999267578125,1.0,Long,41.0,TSLA_SMA_15_23_2025-05-01
AMD,36.85,Closed,2025-05-08 00:00:00,2025-08-01 00:00:00,101.91999816894533,138.77,1.0,Long,68.0,AMD_SMA_7_45_2025-05-08
GD,28.3,Closed,2025-05-16 00:00:00,2025-07-16 00:00:00,272.55,300.85,1.0,Long,61.0,GD_SMA_70_85_2025-05-16
GOOGL2,27.11,Closed,2025-05-16 00:00:00,2025-07-28 00:00:00,166.54,193.65,1.0,Long,78.0,GOOGL_EMA_9_46_2025-05-20
AMZN,23.16,Closed,2025-05-09 00:00:00,2025-08-01 00:00:00,193.3800048828125,216.54,1.0,Long,84.0,AMZN_SMA_10_27_2025-05-09
FFIV,17.71,Closed,2025-05-09 00:00:00,2025-07-15 00:00:00,273.989990234375,291.7,1.0,Long,67.0,FFIV_SMA_14_45_2025-05-09
RTX,17.68,Closed,2025-05-13 00:00:00,2025-07-16 00:00:00,131.0,148.68,1.0,Long,64.0,RTX_EMA_27_41_2025-05-13
ILMN,16.85,Closed,2025-06-02 00:00:00,2025-07-15 00:00:00,81.68000030517578,98.53,1.0,Long,43.0,ILMN_EMA_21_32_2025-06-02
LYV,14.28,Closed,2025-04-14 00:00:00,2025-06-17 00:00:00,131.30999755859375,145.58999633789062,1.0,Long,64.0,LYV_SMA_18_29_2025-04-14
WELL,14.11,Closed,2025-07-13 00:00:00,2025-08-01 00:00:00,152.13,166.24,1.0,Long,19.0,WELL_SMA_67_88_2025-07-11
SMCI,13.17,Closed,2025-06-23 00:00:00,2025-08-02 00:00:00,43.470001220703125,56.64,1.0,Long,40.0,SMCI_SMA_58_60_2025-06-23
MCO,12.47,Closed,2025-04-29 00:00:00,2025-05-01 00:00:00,438.52249941067305,450.9884033203125,1.0,Long,2.0,MCO_SMA_71_82_2025-04-29
ISRG,9.41,Closed,2025-05-02 00:00:00,2025-05-07 00:00:00,526.739990234375,536.1500244140625,1.0,Long,5.0,ISRG_SMA_83_85_2025-05-02
SHOP,7.88,Closed,2025-06-02 00:00:00,2025-06-11 00:00:00,106.25499725341795,114.12999725341795,1.0,Long,9.0,SHOP_SMA_57_59_2025-06-02
EQT,3.57,Closed,2025-05-05 00:00:00,2025-05-29 00:00:00,51.79643479568089,55.369998931884766,1.0,Long,24.0,EQT_SMA_42_54_2025-05-05
LIN,2.57,Closed,2025-04-01 00:00:00,2025-06-02 00:00:00,462.0,464.5700073242187,1.0,Long,62.0,LIN_SMA_68_86_2025-04-01
GME,0.5,Closed,2025-05-13 00:00:00,2025-06-11 00:00:00,28.049999237060547,28.549999237060547,1.0,Long,29.0,GME_SMA_53_54_2025-05-13
DOV,0.0,Closed,2025-06-26 00:00:00,2025-07-30 00:00:00,183.0399932861328,183.0399932861328,1.0,Long,34.0,DOV_SMA_45_86_2025-06-26
COR,0.0,Closed,2025-06-16 00:00:00,2025-07-16 00:00:00,294.54998779296875,294.55,1.0,Long,30.0,COR_SMA_8_26_2025-06-16
DOCU,0.0,Closed,2025-07-17 00:00:00,2025-07-30 00:00:00,77.62,77.62,1.0,Long,13.0,DOCU_SMA_52_54_2025-07-17
HSY,-1.15,Closed,2025-05-07 00:00:00,2025-06-17 00:00:00,170.02000427246094,168.8699951171875,1.0,Long,41.0,HSY_SMA_78_85_2025-05-07
QCOM,-1.42,Closed,2025-06-24 00:00:00,2025-07-15 00:00:00,155.7100067138672,154.29,1.0,Long,21.0,QCOM_SMA_49_66_2025-06-24
COIN,-1.52,Closed,2025-06-04 00:00:00,2025-06-04 00:00:00,257.5199890136719,256.0,1.0,Long,0.0,COIN_SMA_12_13_2025-06-04
MA2,-3.73,Closed,2025-07-01 00:00:00,2025-07-30 11:43:56,563.05,559.32,1.0,Long,29.0,MA_SMA_78_82_2025-07-01
VTR,-5.6,Closed,2025-04-01 00:00:00,2025-06-11 00:00:00,69.01000213623047,63.40999984741211,1.0,Long,71.0,VTR_SMA_79_81_2025-04-01
GOOGL1,-8.0,Closed,2025-05-05 00:00:00,2025-05-08 00:00:00,163.0,155.0,1.0,Long,3.0,GOOGL_SMA_9_39_2025-05-05
AAPL,-9.61,Closed,2025-05-14 00:00:00,2025-06-04 00:00:00,212.42999267578125,202.82000732421875,1.0,Long,21.0,AAPL_SMA_13_37_2025-05-14
MA1,-12.31,Closed,2025-04-02 00:00:00,2025-04-03 00:00:00,542.8599853515625,530.5499877929688,1.0,Long,1.0,MA_SMA_8_58_2025-04-02
LMT,-13.4,Closed,2025-05-21 00:00:00,2025-06-11 00:00:00,477.5505304056367,464.15,1.0,Long,55.0,LMT_SMA_59_87_2025-05-21
COST,-16.71,Closed,2025-04-30 00:00:00,2025-07-14 00:00:00,990.0,973.29,1.0,Long,75.0,COST_EMA_29_68_2025-04-30
TSLA1,-23.74,Closed,2025-04-03 00:00:00,2025-04-16 00:00:00,265.2900085449219,241.5500030517578,1.0,Long,13.0,TSLA_SMA_11_25_2025-04-03
UHS,-27.76,Closed,2025-04-02 00:00:00,2025-04-21 00:00:00,184.80999755859375,157.0500030517578,1.0,Long,19.0,UHS_SMA_16_25_2025-04-02
PGR,-36.24,Closed,2025-06-03 00:00:00,2025-07-09 00:00:00,287.8399963378906,251.6,1.0,Long,36.0,PGR_SMA_37_61_2025-06-03
